id,nset1,nset2,nset3,nset4,nset5,nset6,nset7,nset8,nset9,nset10,nset11,nset12,mset1,mset2,mset3,mset4,mset5,mset6,mset7,mset8,mset9,mset10,mset11,mset12,TotAmt,TotTrans
4,0,0.390756303,0.172268908,0.147058824,0.008403361,0.029411765,0.012605042,0.100840336,0.088235294,0.050420168,0,0,0,0.279239767,0.270467836,0.097953217,0.004385965,0.017543859,0.008771929,0.05116959,0.138888889,0.131578948,0,0,4957563.87,238
12,0.026666667,0.106666667,0.04,0.36,0,0.013333333,0.04,0.213333333,0.053333333,0.146666667,0,0,0.007963595,0.089874856,0.097838451,0.213879411,0,0.003412971,0.360637087,0.167235494,0.00568828,0.053469854,0,0,1867029.97,75
16,0.285714286,0,0,0.285714286,0,0.142857143,0,0.142857143,0,0,0,0.142857143,0.121396066,0,0,0.532625213,0,0.270106214,0,0.048558427,0,0,0,0.027314081,110808.78,14
24,0,0.714285714,0.071428571,0,0,0.178571429,0.035714286,0,0,0,0,0,0,0.367775835,0.08406304,0,0,0.525394046,0.022767079,0,0,0,0,0,608448.73,28
28,0,0.473684211,0,0.157894737,0,0.105263158,0,0.105263158,0,0.157894737,0,0,0,0.595404582,0,0.15684316,0,0.126873132,0,0.029970028,0,0.090909098,0,0,245551.99,19
31,0,0.416666667,0.027777778,0.083333333,0.055555556,0.027777778,0.083333333,0,0,0.305555556,0,0,0,0.480999996,0.033,0.061000005,0.154000004,0.039999995,0.146000002,0,0,0.084999997,0,0,792504.85,36
34,0,0,0,0.19047619,0.666666667,0,0.047619048,0,0,0.095238095,0,0,0,0,0,0.16169725,0.759174303,0,0.03669725,0,0,0.042431198,0,0,507805.36,21
47,0,0,0,0.382352941,0.029411765,0.235294118,0.058823529,0.117647059,0,0.147058824,0.029411765,0,0,0,0,0.278074866,0.020053474,0.145721926,0.016042784,0.062834221,0,0.05882353,0.418449198,0,947113.68,34
87,0,0,0,0.3125,0,0,0,0,0,0.6875,0,0,0,0,0,0.015873068,0,0,0,0,0,0.984126932,0,0,79093.72,16
104,0,0.272727273,0,0.363636364,0.363636364,0,0,0,0,0,0,0,0,0.252824863,0,0.265536727,0.481638409,0,0,0,0,0,0,0,227901.28,11
109,0,0.355555556,0,0.066666667,0,0,0,0,0,0.577777778,0,0,0,0.543999994,0,0.095999994,0,0,0,0,0,0.360000011,0,0,389390.96,45
132,0,0.560483871,0.189516129,0.133064516,0.012096774,0.060483871,0.008064516,0.012096774,0,0,0.02016129,0.004032258,0,0.100840336,0.115546219,0.146008404,0.006302521,0.038865546,0.003151261,0.001050421,0,0,0.586134452,0.00210084,5332272.19,248
166,0,0.027777778,0,0.333333333,0,0,0,0,0,0.611111111,0.027777778,0,0,0.064711829,0,0.36501517,0,0,0,0,0,0.129423658,0.440849343,0,1382165.54,36
174,0,0.254237288,0.288135593,0,0.016949153,0,0.033898305,0.033898305,0,0.355932203,0,0.016949153,0,0.102590675,0.144041451,0,0.006217618,0,0.005181346,0.001036268,0,0.734715024,0,0.006217618,2561286.4,59
197,0,0.03030303,0.727272727,0.151515152,0,0.03030303,0.060606061,0,0,0,0,0,0,0.019348268,0.787169042,0.15071283,0,0.008146641,0.034623219,0,0,0,0,0,1691768.45,66
202,0.029411765,0.264705882,0.294117647,0,0.058823529,0,0.088235294,0,0,0.264705882,0,0,0.025575451,0.060102307,0.305626599,0,0.014066491,0,0.05498721,0,0,0.539641942,0,0,860259.32,34
205,0,0,0,0.5,0.214285714,0.285714286,0,0,0,0,0,0,0,0,0,0.13299999,0.183,0.684000011,0,0,0,0,0,0,205367.76,14
213,0,0.185185185,0.296296296,0.111111111,0,0.037037037,0.074074074,0.296296296,0,0,0,0,0,0.350665066,0.383313187,0.021765404,0,0.04715839,0.060459496,0.136638456,0,0,0,0,319105.04,27
221,0,0,0,0,0.111111111,0,0.055555556,0,0,0.833333333,0,0,0,0,0,0,0.510000025,0,0.039999994,0,0,0.449999981,0,0,187671.03,18
230,0.01369863,0.547945205,0,0.150684932,0.171232877,0.068493151,0,0.047945205,0,0,0,0,0,0.525354968,0,0.104462475,0.310344828,0.040567952,0,0.019269777,0,0,0,0,3076377.13,146
245,0,0.1875,0.0625,0,0,0,0,0,0,0.75,0,0,0,0.008888887,0.004444455,0,0,0,0,0,0,0.986666659,0,0,440575.99,16
249,0,0.029850746,0.835820896,0.089552239,0,0,0,0,0.029850746,0,0.014925373,0,0,0.103896106,0.668331666,0,0,0,0,0,0.000999002,0,0.226773226,0,1360006.8,67
257,0.038461538,0.461538462,0,0.115384615,0.192307692,0.153846154,0,0.038461538,0,0,0,0,0.142011826,0.237869832,0,0.216568042,0.227218937,0.143195265,0,0.033136099,0,0,0,0,397967.49,26
264,0.025974026,0.558441558,0,0.090909091,0.103896104,0.12987013,0.038961039,0,0,0,0,0.051948052,0.014358974,0.497435901,0,0.172307694,0.118974359,0.098461541,0.037948714,0,0,0,0,0.060512817,1052740.28,77
