Hotel,Id,Ciudad,Pais,Usuario,Rating,PosNeg,Fecha,Review
JW Marriott Hotel Lima,rn371531539,,,christopher c,5,1,09/05/2016,"El mejor hotel, bar surtido Excelente hotel, ambiente calido, sonrisas genuinas, para ser la primera vez que vengo al lobby bar del hotel nos trataron como si ya nos conocieran de tiempo, nos tomo la orden Erick Ayala fue muy gentil, super amable.. Nos recomendo unos deliciosos pisco sours que los preparo Pedro y estuvieron muy buenos. Comimos sushi y Erick nos conto un..   "
JW Marriott Hotel Lima,rn371477476,Santiago,Chile,JLValdes73,4,1,09/05/2016,"Buen hotel, habitacion un poco oscura y humeda. Buen hotel, rico desayuno y comida, pleno Barrio de Miraflores a pocas cuadras del parque Kennedy y de Larco Mar. Solo un comentario con respecto a la habitacion que nos toco, algo oscura y humeda (era la ultima del pasillo del piso 5). "
JW Marriott Hotel Lima,rn371344377,,,Henry A,5,1,08/05/2016,"Servicio excepcional, impecable. Fui con mi novia a pasar un momento tranquilo al JW Marriott por recomendacion de mis amigos. Pase por el lobby bar del hotel. Me parecio un lugar tranquilo, tenian comidas excelentes y disfrute de los cocteles. Despues ordene un pollo Teriyaki y chilcanos, pero mas me llamo la atencion el servicio que me estaba brindando Erick Ayala, realmente una..   "
JW Marriott Hotel Lima,rn371208412,Panama,Panama,maceitu,3,0,08/05/2016,"La vista es su fuerte La gran ventaja de este hotel es su vista inmejorable del Pacifico de Lima, la posibilidad de salir caminado por sus lindas aceras con vista al mar o cruzar la calle para pasear por el Larcomar, el shopping que esta justo al frente. De resto, no mi estilo de hotel. Turismo masivo, mucho ruido, mucha gente, musica a todo volumen..   "
JW Marriott Hotel Lima,rn371197904,Kansas City,USA,jak201296,5,1,08/05/2016," EL PISO 24 LO MEJOR DE LIMA Tuve la oportunidad de quedarme hace un par de dias en el hotel y quede muy complacido con las atenciones que recibi de parte de todos, pero en especial quiero mencionar al Sr. kem del salon vip del piso 24 ; quien nos atendio de manera tan especial que realmente nos hizo sentir como en nuestra propia casa. Tienen..   "
JW Marriott Hotel Lima,rn371065386,Lima,Peru,Pietro F,4,1,07/05/2016,"Dia de la madre Restaurant La Vista, el Tea Time ofrece un excelente buffet, todo rico, comida sabrosa (local e internacional), gran variedad de platos incluyendo la zona de postres. El costo fue de S/. 59 por persona, lo vale. El servicio en el restaurant es muy bueno, sin embargo la limpieza en los servcios higienicos no es la optima para un hotel 5 estrellas. "
JW Marriott Hotel Lima,rn370810568,,,Lucia T,5,1,06/05/2016,excelente atencion Muy bien atendidos por Erick Ayala en el Jw Louvre del hotel:) con muy buena atencion y comida. Disfrutamos de excelente musica en vivo para empezar el primer fin de semana del mes en pareja <3 celebrando nuestro aniversario 
JW Marriott Hotel Lima,rn370568786,,,Hector T,5,1,05/05/2016,"Noche bonita Muy buena atencion Erick Ayala muy buena comida y atencione gusta la musica la comida es excelente, lugar tranquilo Srtas. Gioana, Kiara, me encanta venir los martesny viernes para pasar una linda noche en el lobby bar "
JW Marriott Hotel Lima,rn370293353,,,Tania P,5,1,04/05/2016,"Excelente atencion Nos dio una excelente atencion el Sr. Erick Ayala, trato amable, 100% recomendable. Muy buena musica. Ambiente calido y agradable. Gran variedad de bebidas. Increible decoracion, siempre te reciben y atienden con una sonrisa. "
JW Marriott Hotel Lima,rn369895642,,Colombia,Rommel S,5,1,03/05/2016,"Nos encanto! Despues de conocer varios hoteles en el extranjero no tuve mejor idea que elegir el JW Marriott Lima para una velada casual con mi novia, ella quedo fascinada ante la vista hermosa que tiene este hotel y el servicio que ofrecen, en el lobby del hotel la amabilidad resalto, todos sonrientes y muy amables, especialmente Erick Ayala que nos atendio..   "
